wavelengths	intensities
219.27254	167.01
219.28691	-43.8022
219.30127	-64.8178
219.31564	254.37
219.33002	288.411
219.34439	169.36
219.35876	267.09
219.37314	199.609
219.38751	302.884
219.40189	395.544
219.41628	242.02
219.43065	112.717
219.44502	167.335
219.4594	94.4609
219.47379	172.357
219.48816	348.399
219.50253	249.18
219.51692	290.906
219.5313	253.808
219.54568	192.622
219.56006	86.4669
219.57445	91.627
219.58882	54.9106
219.60321	156.445
219.6176	248.243
219.63197	218.414
219.64636	65.2821
219.66075	289.3
219.67514	231.353
219.68953	359.02
219.7039	466.65
219.71829	620.031
219.73268	520.228
219.74707	333.849
219.76146	548.003
219.77586	460.16
219.79025	383.124
219.80464	205.971
219.81903	241.322
219.83342	312.116
219.84782	280.74
219.86221	185.826
219.8766	164.327
219.89101	117.904
219.9054	168.126
219.91978	217.563
219.93419	244.243
219.94859	343.667
219.96298	412.951
